id,product_name,description,category,price
2eb6177b-de78-4098-ae66-a605e88eae88,Protein Bar Variety Pack,A pack of assorted nut and protein bars for a quick energy boost.,Food - Snacks,12.99
97c27567-d47a-47c5-9718-b25e16d042d7,Organic Baby Spinach,"Fresh baby spinach leaves, great for salads and smoothies.",Food - Produce,2.99
426d6163-fb56-4ba3-b94c-af6a663d4582,Sliced Cheese,"Assorted sliced cheese, perfect for sandwiches.",Food - Dairy,4.49
543b78b0-ce30-40c5-b6a3-f1a3096cae62,Multifunctional Baby Bottle Warmer,Warmer for heating baby bottles and food jars.,Baby,39.99
0caa0f7a-abc0-4235-a957-5238d7682104,Self-Massaging Pillow,Comfortable pillow with built-in massage features.,Health,49.99
71632cca-3908-4fa9-a494-12ce7b575ead,Window Bird Feeder with Suction Cups,Clear feeder that attaches to windows for bird watching.,Outdoor,28.99
4c599705-7409-4aad-b993-5d7887112cca,Quinoa & Black Bean Salad,A nutritious salad with quinoa and black beans,Food - Salads,7.49
526927ba-e4a9-498c-8aac-3feab8f0f5ff,Graphic Print Leggings,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",Clothing - Activewear,29.99
69a2dc6f-5c8a-4b12-8a22-cdd640596693,Mango Chia Pudding,Healthy chia pudding made with mango and coconut milk.,Food - Snacks,4.49
866254ca-1a0f-4afe-aa82-6e43f8e5d535,Faux Fur Throw Blanket,Cozy faux fur blanket to add warmth and style to your home.,Home,39.99
69ac4ae7-cbab-4680-bd3e-58a698498fae,Decorative Throw Blanket,Soft throw blanket for cozy home decor.,Home,39.99
e5cdd5f9-d132-4cfa-b6a1-0ea513169f38,Compact Electric Kettle,Quick-boiling kettle for home and office use.,Kitchen,29.99
a3d1c817-63c4-4869-80b2-6c9db728ee7b,Decorative Throw Pillows,Set of stylish throw pillows for home decor.,Home,29.99
59f25351-8e29-4b2e-8509-3aff029d7852,Stylish Wireless Earbuds,True wireless earbuds with excellent sound quality.,Audio,59.99
98f9acfc-5325-4df6-8eb3-036d2f7436ab,Portable Phone Charger,High-capacity power bank for charging devices on the go.,Accessories,29.99
6df0d707-9ca3-4470-b81e-347b69c45f32,Canned Black Beans,"Delicious and hearty black beans, great for soups or salads.",Food - Canned Goods,1.29
83800aca-9545-4849-b6c1-a36b3ee5404f,Pumpkin Spice Latte Mix,Instant mix for delicious pumpkin spice lattes at home.,Food - Beverages,3.29
b865768f-191a-4ee5-a1cb-e0a174bba272,Coconut Milk Yogurt,Creamy yogurt made with coconut milk,Food - Dairy Alternatives,2.99
f7082707-318f-4d12-a5e7-f9beb2f8a09c,Italian Marinara Sauce,"Classic marinara sauce for pasta, pizza, or dipping.",Food - Sauces,3.29
c0d2cb18-823f-4554-bfa8-dc68f42e3764,Tailored Blazer,Sharp tailored blazer perfect for office wear and professional events.,Clothing - Outerwear,99.99
